"STATUS_0", "Ungültig / Unvollständig"
"STATUS_1", "Durch den Kunden annuliert"
"STATUS_2", "Genehmigung verweigert"
"STATUS_4", "Bestellung gespeichert"
"STATUS_40", "Gespeichert, warten auf externes Ergebnis"
"STATUS_41", "Erwartete Zahlung durch den Kunden"
"STATUS_46", "Austehend (Warten auf Identifikation)"
"STATUS_5", "Genehmigt"
"STATUS_50", "Genehmigt, warten auf externes Ergebnis"
"STATUS_51", "Genehmigung im Wartezustand"
"STATUS_52", "Genehmigung nicht bekannt"
"STATUS_55", "Stand-by"
"STATUS_56", "OK mit planmäßigen Zahlungen"
"STATUS_57", "Fehler in planmäßigen Zahlungen"
"STATUS_59", "Manuelle Genehmigung"
"STATUS_6", "Genehmigt und storniert"
"STATUS_61", "Annulierung der Genehmigung im Wartezustand"
"STATUS_62", "Annulierung der Genehmigung unsicher"
"STATUS_63", "Annulierung der Genehmigung verweigert"
"STATUS_64", "Genehmigt und storniert"
"STATUS_7", "Zahlung gelöscht"
"STATUS_71", "Löschung der Zahlung im Wartezustand"
"STATUS_72", "Payment deletion uncertain"
"STATUS_73", "Löschung der Zahlung verweigert"
"STATUS_74", "Zahlung gelöscht"
"STATUS_75", "Löschung durch Händler"
"STATUS_8", "Gutschrift"
"STATUS_81", "Gutschrift im Wartezustand"
"STATUS_82", "Gutschrift unsicher"
"STATUS_83", "Gutschrift verweigert"
"STATUS_84", "Bezahlung von Akzeptanzpartner verweigert"
"STATUS_85", "Gutschrift durch Händler"
"STATUS_9", "Zahlung beantragt"
"STATUS_91", "Zahlung im Wartezustand"
"STATUS_92", "Zahlung unsicher"
"STATUS_93", "Zahlung verweigert"
"STATUS_94", "Gutschrift von Akzeptanzpartner verweigert"
"STATUS_95", "Zahlung durch Händler"
"STATUS_99", "In Bearbeitung"
"Hash is not valid", "SHA-Verschlüsselung ist ungültig"
"Order is not valid", "Bestellung ist ungültig"
"Process outgoing transaction", "Verarbeitung ausgehender Transaktionen"
"Start Ingenico ePayments processing", "Starte Ingenico ePayments Verarbeitung"
"Your payment information was declined. Please select another payment method.", "Die Zahlung wurde abgelehnt. Bitte wählen Sie eine andere Zahlungsweise"
"Order canceled on Ingenico ePayments side. Status: %s, Payment ID: %s.", "Bestellung von Ingenico ePayments Seite verweigert. Status: %s, Bezahlungs ID: %s."
"Account number must contain numbers only.", "Die Kontonummer darf nur Ziffern beinhalten"
"Bank code must contain numbers only.", "Die Bankleitzahl darf nur Ziffern beinhalten"
"Account Holder must be filled in.", "Der Kontoinhaber muß angegeben werden."
"Capture process complete", "Datenverarbeitungsprozess komplettiert"
"The capture has already been invoiced.", "Die Transaktion wurde bereits in Rechnung gestellt"
"Cannot create an invoice without products.", "Es kann keine Rechnung ohne Artikel erstellt werden."
"Partial capture process complete", "Teilzahlungsprozess abgeschlossen."
"Invoice '%s' was created automatically. Ingenico ePayments Status: %s.", "Rechnung '%s' wurde automatisch erstellt. Ingenico ePayments Status: %s."
"Start Ingenico ePayments refund request", "Starte Ingenico ePayments Gutschrifts Anfrage"
"Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement. Ingenico ePayments Status: %s.", "Eine Gutschrift wird automatisch erstellt sobald Ingenico ePayments dies bestätigt. Ingenico ePayments Status: %s."
"Creditmemo '%s' was created automatically. Ingenico ePayments Status: %s.", "Gutschrift '%s' wurde autmatisch erstellt. Ingenico ePayments Staus: %s."
"Could not perform actions for Ingenico ePayments status: %s.", "Aktionen für Ingenico ePayments Status: %s nicht möglich."
"Refund is waiting or uncertain. Ingenico ePayments status: %s.", "Gutschrift in Wartezustand oder unsicher. Ingenico ePayments Status: %s."
"Refund was refused. Automatic creation failed. Ingenico ePayments status: %s.", "Gutschrift verweigert. Automatische Erstellung fehlgeschlagen. Ingenico ePayments Status: %s."
"Capture is waiting or uncertain. Ingenico ePayments status: %s.", "Zahlung in Wartezustand oder unsicher. Ingenico ePayments status: %s."
"Capture was refused. Automatic creation failed. Ingenico ePayments status: %s.", "Zahlung verweigert. Automatische Erstellung fehlgeschlagen. Ingenico ePayments Status: %s."
"Void is waiting or uncertain. Ingenico ePayments status: %s.", "Void in Wartezustand oder unsicher. Ingenico ePayments status: %s."
"Void was refused. Automatic creation failed. Ingenico ePayments status: %s.", "Void verweigert. Automatische Erstellung fehlgeschlagen. Ingenico ePayments Status: %s."
"Authorization status changed. Current Ingenico ePayments status is: %s.", "Status der Genehmigung geändert. Aktueller Ingenico ePayments Status ist: %s."
"Unknown Ingenico ePayments status: %s.", "Unbekannter Ingenico ePayments Status: %s."
"Error, transaction count is %s instead of 1 for the Payid '%s', order '%s' and Operation '%s'.", "Fehler, Anzahl der Transaktionen ist %s anstatt 1 für Pay ID '%s', Bestellung '%s' und Operation '%s'."
"Order can not be saved.", "Bestellung kann nicht gespeichert werden."
"Order can not be canceled for system reason.", "Bestellung kann aus Systemgründen nicht abgebrochen werden."
"Order declined on ops side. Ingenico ePayments status: %s, Payment ID: %s.", "Bestellung von Ingenico ePayments verweigert. Ingenico ePayments Status: %s, Bezahlungs ID: %s."
"Order can not be saved for system reason.", "Bestellung kann aus Systemgründen nicht gespeichert werden."
"An unknown exception occured.", "Ein unbekannter Fehler ist aufgetreten."
"A technical problem arose during payment process, giving unpredictable result. Ingenico ePayments status: %s.", "Ein technisches Problem ist während der Verarbeitung aufgetreten, Ingenico ePayments Status: %s."
"An unknown exception was thrown in the payment process. Ingenico ePayments status: %s.", "Ein unbekanntes Ereignis wurde im Zahlungsprozess ausgelöst. Ingenico ePayments Status: %s."
"Waiting for the payment of the customer", "Warten auf die Zahlung des Kunden"
