"STATUS_0", "Incomplet ou invalide"
"STATUS_1", "Annulé par client"
"STATUS_2", "Autorisation refusée"
"STATUS_4", "Order stored"
"STATUS_40", "Stored waiting external result"
"STATUS_41", "Attente paiement par client"
"STATUS_46", "Waiting for identification)"
"STATUS_5", "Autorisé"
"STATUS_50", "Autorisé en attente de résultat externe"
"STATUS_51", "Autorisation en attente"
"STATUS_52", "Autorisation incertaine"
"STATUS_55", "En suspens"
"STATUS_56", "OK avec paiements planifiés"
"STATUS_57", "Erreur dans les paiements planifiés"
"STATUS_59", "Autorisation à obtenir manuellement"
"STATUS_6", "Autorisé et annulé"
"STATUS_61", "Annulation d'autorisation en attente"
"STATUS_62", "Annulation d'autorisation incertaine"
"STATUS_63", "Annulation d'autorisation refusée"
"STATUS_64", "Autorisé et annulé"
"STATUS_7", "Paiement annulé"
"STATUS_71", "Annulation paiement en attente"
"STATUS_72", "Annulation paiement incertaine"
"STATUS_73", "Annulation paiement refusée"
"STATUS_74", "Paiement annulé"
"STATUS_75", "Annulation traitée par le marchand"
"STATUS_8", "Remboursement"
"STATUS_81", "Refund pending"
"STATUS_82", "Refund uncertain"
"STATUS_83", "Refund refused"
"STATUS_84", "Payment declined by the acquirer"
"STATUS_85", "Refund processed by merchant"
"STATUS_9", "Paiement demandé"
"STATUS_91", "Paiement en cours"
"STATUS_92", "Paiement incertain"
"STATUS_93", "Paiement refusé"
"STATUS_94", "Remboursement refusé par l'acquéreur"
"STATUS_95", "Paiement traité par le marchand"
"STATUS_99", "En cours de traitement"
"Hash is not valid", "Hash n'est pas valable"
"Order is not valid", "La commande n'est pas valable"
"Process outgoing transaction", "Traitement de la transaction en cours."
"Start Ingenico ePayments processing", "Démarrage /Démarrer le traitement Ingenico ePayments"
"Your payment information was declined. Please select another payment method.", "Vos données de paiement ont été refusées. Veuillez choisir une autre méthode de paiement."
"Order canceled on Ingenico ePayments side. Status: %s, Payment ID: %s.", "Commande annulée par Ingenico ePayments. Statut: %s, Payment ID: %s."
"Account number must contain numbers only.", "Le numéro de compte ne doit contenir que des nombres."
"Bank code must contain numbers only.", "Le code bancaire ne doit contenir que des nombres."
"Account Holder must be filled in.", "Le titulaire du compte doit être renseigné."
"Capture process complete", "Demande de capture complétée."
"The capture has already been invoiced.", "Le paiement a déjà été facturé."
"Cannot create an invoice without products.", "Une facture ne peut être créée sans produits."
"Partial capture process complete", "Demande de capture partielle complétée."
"Invoice '%s' was created automatically. Ingenico ePayments Status: %s.", "La facture '%s' a été créée automatiquement. Statut Ingenico ePayments: %s."
"Start Ingenico ePayments refund request", "Démarrer la demande de remboursement Ingenico ePayments"
"Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement. Ingenico ePayments Status: %s.", "Une note de crédit sera créée automatiquement dès réception de la confirmation de l'Ingenico ePayments. Statu de l'Ingenico ePayments: %s."
"Creditmemo '%s' was created automatically. Ingenico ePayments Status: %s.", "La note de crédit '%s'a été créée automatiquement. Statut Ingenico ePayments: %s."
"Could not perform actions for Ingenico ePayments status: %s.", "La transaction n'a pu être effectuée pour Ingenico ePayments statut: %s."
"Refund is waiting or uncertain. Ingenico ePayments status: %s.", "Remboursement en attente ou incertain. Statut Ingenico ePayments: %s."
"Refund was refused. Automatic creation failed. Ingenico ePayments status: %s.", "Le remboursement a échoué.La création automatique a échoué. Statut Ingenico ePayments : %s."
"Capture is waiting or uncertain. Ingenico ePayments status: %s.", "La capture de paiement est en attente ou incertaine. Statut Ingenico ePayments: %s."
"Capture was refused. Automatic creation failed. Ingenico ePayments status: %s.", "La capture de paiement a échoué.La création automatique a échoué. Statut Ingenico ePayments : %s."
"Void is waiting or uncertain. Ingenico ePayments status: %s.", "L'annulation est en attente ou incertain. Statut Ingenico ePayments: %s."
"Void was refused. Automatic creation failed. Ingenico ePayments status: %s.", "L'annulation est refusée. Statut Ingenico ePayments: %s."
"Authorization status changed. Current Ingenico ePayments status is: %s.", "Le statut de l'autorisation est modifié. Le statut actuel de l'Ingenico ePayments status est: %s."
"Unknown Ingenico ePayments status: %s.", "Statut Ingenico ePayments inconnu: %s."
"Error, transaction count is %s instead of 1 for the Payid '%s', order '%s' and Operation '%s'.", "Erreur, la transaction est %s au lieu de 1 pour le Payid '%s', Commande '%s' et Opération '%s'."
"Order can not be saved.", "La commande n'a pas pu être enregistrée."
"Order can not be canceled for system reason.", "La commande n'a pas pu être annulée pour cause d'une erreur système."
"Order declined on ops side. Ingenico ePayments status: %s, Payment ID: %s.", "Commande refusée par l'Ingenico ePayments. Statut Ingenico ePayments: %s, Payment ID: %s."
"Order can not be saved for system reason.", "La commande n'a pas pu être enregistrée pour cause d'une erreur système."
"An unknown exception occured.", "An unknown exception occured."
"An unknown exception was thrown in the payment process. Ingenico ePayments status: %s.", "An unknown exception was thrown in the payment process. Ingenico ePayments status: %s."
"Waiting for the payment of the customer", "En attente du paiement du client"
"Authorization waiting from Ingenico ePayments", "Autorisation en attente de Ingenico ePayments"
"Processed by Ingenico ePayments", "Traité par  Ingenico ePayments"
"Waiting for payment. Ingenico ePayments status: %s.", "En attente de paiement. Statut Ingenico ePayments: %s."
"Authorization waiting. Ingenico ePayments status: %s.", "Autorisation en attente. Statut Ingenico ePayments: %s."
"Authorization uncertain. Ingenico ePayments status: %s.", "Authorization uncertain. Ingenico ePayments status: %s."
"Processed by Ingenico ePayments. Payment ID: %s. Ingenico ePayments status: %s.", "Traité par Ingenico ePayments. Payment ID: %s. Statut Ingenico ePayments : %s."
"Ingenico ePayments server is temporarily not available, please try again later.", "Le serveur Ingenico ePayments est temporairement inaccessible,veuillez réessayer plus tard."
"An error occured during the Ingenico ePayments request. Your action could not be executed. Message: '%s'.", "Une erreur est survenue pendant la demande vers Ingenico ePayments. Votre action n'a pu être exectuée. Message: '%s'."
"You already sent a capture request. Please wait until the capture request is acknowledged.", "Une demande de paiement a déjà été envoyée.Veuillez attendre l'accusé de réception de la demande."
"There is one void request waiting. Please wait until this request is acknowledged.", "Il y a une demande d'annulation en attente. Veuillez attendre l'accusé de réception de la demande."
"Start Ingenico ePayments %s capture request", "Démarrer la demande de capture Ingenico ePayments %s"
"Invoice will be created automatically as soon as Ingenico ePayments sends an acknowledgement. Ingenico ePayments status: %s.", "Une facture va être créée automatiquement dès réception de l'accusé de réception. Statut Ingenico ePayments: %s."
"The Invoice will be created automatically as soon as Ingenico ePayments sends an acknowledgement.", "La facture va être créée automatiquement dès réception de l'accusé de réception. Statut Ingenico ePayments: %s."
"The Invoice was not created. Ingenico ePayments status: %s.", "La facture n'a pas pu être créée. Statut Ingenico ePayments : %s."
"The CreditMemo was not created. Ingenico ePayments status: %s.", "La note de crédit n'a pas pu être créée. Statut Ingenico ePayments : %s."
"The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement.", "La facture va être créée automatiquement dès réception de l'accusé de réception de Ingenico ePayments."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico ePayments sends an acknowledgement.", "Il y a une demande de note de crédit en attente. Veuillez attendre l'accusé de réception de l'annulation"
"Please use void to cancel the operation.", "Veuillez utiliser annulation pour annuler cette opération."
"You already sent a void request. Please wait until the void request will be acknowledged.", "Il y a une demande de note de crédit en attente. Veuillez attendre l'accusé de réception de l'annulation."
"There is one capture request waiting. Please wait until this request is acknowledged.", "Il y a une demande de capture de paiement en attente. Veuillez attendre l'accusé de réception de l'annulation."
"The void request is sent. Please wait until the void request will be accepted.", "Une demande d'annulation est envoyée. Merci de patienter jusqu'à validation de la demande d'annulation."
"Void order succeed. Ingenico ePayments status: %s.", "Annulation de commande réussie. Statut Ingenico ePayments : %s."
"Void order failed. Ingenico ePayments status: %s.", "L'annulation de la commande a échoué.Statut Ingenico ePayments : %s."
"Authorization", "Autorisation"
"Direct Sale", "Vente directe"
"Horizontally grouped logo with group name on left", "Logos regroupés horizontalement avec nom du groupe sur la gauche."
"Horizontally grouped logo with no group name", "Logos regroupés horizontalement sans nom de groupe."
"Verical list", "Liste Verticale"
"You will be redirected to the payment page after the order confirmation.", "Vous allez être redirigé vers la page de paiement après confirmation de la commande."
"Payment failed. Please select another payment method.", "Le paiement a échoué. Veuillez choisir une autre méthode de paiement."
"Payment failed. Please review your input or select another payment method.", "Le paiement a échoué. Veuillez revoir les données saisies ou choisir une autre méthode de paiement."
"Incorrect credit card expiration date.", "La date d\'expiration de la carte de crédit est incorrecte."
"Credit Card Type", "Type de carte de Crédit"
"Name on Card", "Nom figurant sur la carte"
"Credit Card Number", "Numéro de Carte de Crédit"
"Expiration Date", "Date d'expiration"
"Account holder", "Titulaire du compte"
"Account number", "Numéro de compte"
"Bank code", "Code bancaire"
"BCMC", "Bancontact/Mister Cash"
"You will be redirected to Ingenico ePayments website when you place an order.", "Vous allez être redirigé( e) vers le site Ingenico ePayments lors de la commande."
"Please wait a moment. This page will transfer your data to Ingenico ePayments payment gateway in a few seconds.", "Veuillez patienter, vous serez dirigé(e) au portail de paiement sécurisé Ingenico ePayments dans quelques instants"
"PSPID is a case sensitive field", "Le PSPID est sensible à la case"
"SHA-IN Pass phrase", "clé SHA-IN"
"SHA-OUT Pass phrase", "clé SHA-OUT"
"Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp", "Expemple url pour test: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Expemple url pour production: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp"
"Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp", "Expemple url pour test: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Expemple url pour production: https://secure.ogone.com/ncol/prod/maintenancedirect.asp"
"Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp", "Exemple url pour test: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Exemple url pour production: https://secure.ogone.com/ncol/prod/orderdirect.asp"
"API User", "Utilisateur API"
"API Password", "Mot de passe de l'API"
"Payment Action", "Action du paiement"
"If you choose 'Ingenico ePayments', you will need to fill in all the following fields.", "Si vous choisissez 'Ingenico ePayments', vous devrez compléter les champs suivants"
"Payment Template", "Template de Paiement"
"Title of the Ingenico ePayments Template", "Titre du template Ingenico ePayments"
"Background Color of Ingenico ePayments Template", "Couloeur de fond du template Ingenico ePayments"
"Text Color of the Ingenico ePayments Template", "Couleur du texte du template Ingenico ePayments"
"Table Background Color of the Ingenico ePayments Template", "Couleur du tableau du template Ingenico ePayments"
"Table Text Color of the Ingenico ePayments Template", "Couleur du texte du tableau du template Ingenico ePayments"
"Button Background Color of the Ingenico ePayments Template", "Couleur du bouton de fond du template Ingenico ePayments"
"Button Text Color of the Ingenico ePayments Template", "Couleur du texte du bouton du template Ingenico ePayments"
"Font Family of the Ingenico ePayments Template", "________"
"Logo of the Ingenico ePayments Template", "Logo du Template Ingenico ePayments"
"Layout of Payment Methods", "Mise en page des Méthodes de Paiement"
"e.g: white", "ex : blanc"
"e.g: black", "ex :  noir"
"e.g: Verdana", "ex : Verdana"
"Debug", "Débug"
"Ingenico ePayments Account", "Compte Ingenico ePayments"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.", "URL/nom du lien du logo. L'URL doit être absolue et sauvegardée hébergée sur un serveur sécurisé."
"Countries", "Pays"
"Enabled Card Types", "Types de cartes"
"Enable 3D secure", "Activer le 3D secure"
"SCORING_DESCRIPTION_AAVCHECK", "Résultat de la vérification automatique d’une adresse. Actuellement, cette vérification est seulement disponible pour la carte American Express. Valeurs possibles :<br />KO: L’adresse a été envoyée mais l’acquéreur a fourni une réponse négative à la vérification de l’adresse, c’est-à-dire que l’adresse est incorrecte.<br />OK:<br />L’adresse a été envoyée et l’acquéreur a fourni une réponse positive à la vérification de l’adresse, c’est-à-dire que l’adresse est correcte.<br />NO: Tous les autres cas. Par exemple, si aucune adresse n’est transmise"
"SCORING_DESCRIPTION_CVCCHECK", "Résultat de la vérification de la carte. Valeurs possibles :<br />KO: Le CVC a été envoyé mais l’acquéreur a fourni une réponse négative à la vérification CVC, c’est-à-dire que le CVC est incorrect.<br />OK:<br />1. Le CVC a été envoyé et l’acquéreur a fourni une réponse positive à la vérification CVC, c’est-à-dire que le CVC est correct. OU<br />2. L’acquéreur a fourni un code d’autorisation, mais il n’a pas renvoyé le résultat spécifique pour la vérification CVC.<br /><br />NO: Tous les autres cas. Par exemple, si aucun CVC n’est transmis"
"SCORING_DESCRIPTION_CCCTY", "Pays d’origine de la carte de crédit.<br />Format: 2 caractères alphabétiques de code ISO"
"SCORING_DESCRIPTION_IPCTY", "Pays d’origine de l’adresse IP.<br />Format: 2 caractères alphabétiques de code ISO. Si ce paramètre n’est pas disponible, «99» sera reporté dans la réponse."
"SCORING_DESCRIPTION_NBREMAILUSAGE", "Nombre de fois qu’une adresse e-mail a été utilisée sur une période définie"
"SCORING_DESCRIPTION_NBRIPUSAGE", "Nombre de fois qu’une adresse IP a été utilisée pour des transactions réussies sur une période définie"
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX", "Nombre de fois qu’une adresse IP a été utilisée pour des transactions réussies et/ou refusées sur une période définie"
"SCORING_DESCRIPTION_NBRUSAGE", "Nombre de fois qu’une carte de crédit a été utilisée sur une période définie"
"SCORING_DESCRIPTION_VC", "Carte virtuelle. Valeurs possibles :<br />ECB: Pour E Carte Bleue<br />ICN: Pour Internet City Number<br />NO: Tous les autres cas. Par exemple, la carte n’est pas une carte virtuelle"
"SCORING_DESCRIPTION_CARDNO", "Numéro de la carte"
"SCORING_DESCRIPTION_ED", "Date d'expiration"
"SCORING_DESCRIPTION_CN", "Titulaire de la carte"
"Card Verification Number", "Code de vérification de la Carte"
"kwixo_apres_reception_description", "<p><b>Grâce au service Paiement après réception, vous receves et vérifiez votre commande AVANT de la payer. Pas besoin d'être inscrit au préalable.</b> Kwixo, une solution de paieent sécurisée, choisie par le Crédit Agricole et LCL. <a target='_blank' href='http://www.kwixo.com/static/payflow/html/popup-1x-rnp.htm'>En savoir plus</a></p>"
"kwixo_payement_en_1_fois_description", "<p>C'est simple, pratique & sécurisé. <b>Pas besoin d'être inscrit au préalable</b> <br> Kwixo, une solution de paieent sécurisée, choisie par le Crédit Agricole et LCL. <a href='http://www.kwixo.com/static/payflow/html/popup-1x.htm' target='_blank'>En savoir plus</a></p>"
"paiement_en_plusiers_fois_description", "<p>Etalez vos paiements jusqu'à 4000 euros.</p><ul><li>- en 3 fois sans frais à patrir de 300 euros d'achat ;</li><li>- en 5, 10 mois à partir de 150 euros d'achat ;</li><li>- en 20 mois à partir de 300 euros d'achat.</li></ul><p>Le paiement en plusieurs fois nécessite l'overture d'un crédit renouvelable auprès de notre partenaire Sofinco, avec une résponse de principe en tems réel. <a href='http://www.kwixo.com/static/payflow/html/popup-3x.htm' target='_blank'>En savoir plus</a><br>
<b>Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement avant de vous engager.</b></p>"
